name,code,pop,lifeexp
Afghanistan,AFG,25067407,65
Albania,ALB,3153731,77.8
Algeria,DZA,32854159,75.6
Angola,AGO,16095214,52.4
Antigua and Barbuda,ATG,83039,76.4
Argentina,ARG,38747148,76.3
Armenia,ARM,3017661,74.8
Australia,AUS,20310208,82.8
Austria,AUT,8291979,81.5
Azerbaijan,AZE,8352021,72.7
Bahamas,BHS,323295,76.1
Bahrain,BHR,724788,76.9
Bangladesh,BGD,15328112,71.8
Barbados,BRB,291933,75.5
Belarus,BLR,9795287,72.3
Belgium,BEL,10398049,81.1
Belize,BLZ,275546,71
Benin,BEN,8490301,60
Bhutan,BTN,637013,69.8
Bolivia (Plurinational State of),BOL,9182015,77
Bosnia and Herzegovina,BIH,3915238,77.4
Botswana,BWA,1835938,65.7
Brazil,BRA,186830759,75
Brunei Darussalam,BRN,373831,77.7
Bulgaria,BGR,7744591,74.5
Burkina Faso,BFA,13933363,59.9
Burundi,BDI,7858791,59.6
Cambodia,KHM,13955507,68.7
Cameroon,CMR,17795149,57.3
Canada,CAN,32270507,82.2
Central African Republic,CAF,4191429,52.5
Chad,TCD,10145609,53.1
Chile,CHL,16295102,85
China,CHN,1312978855,76.1
Colombia,COL,4494579,74.8
Comoros,COM,797902,63.5
Congo,COG,3609851,64.7
Costa Rica,CRI,4327228,79.6
Croatia,HRV,455149,78
Cuba,CUB,11259905,79.1
Cyprus,CYP,836321,85
Democratic Republic of the Congo,COD,58740547,59.8
Denmark,DNK,5416945,86
Djibouti,DJI,804206,63.5
Dominican Republic,DOM,9469601,73.9
Ecuador,ECU,13060993,76.2
Egypt,EGY,72849793,79
El Salvador,SLV,6668356,73.5
Equatorial Guinea,GNQ,484098,58.2
Eritrea,ERI,4526722,64.7
Estonia,EST,1344312,77.6
Ethiopia,ETH,78985857,64.8
Fiji,FJI,828046,69.9
Finland,FIN,5246004,81.1
France,FRA,60990544,82.4
Gabon,GAB,1290693,66
Gambia,GMB,1617029,61.1
Georgia,GEO,4473409,74.4
Germany,DEU,82652369,81
Ghana,GHA,2253501,62.4
Greece,GRC,11099737,81
Grenada,GRD,105237,73.6
Guatemala,GTM,12709564,71.9
Guinea,GIN,9002656,59
Guinea-Bissau,GNB,1596929,58.9
Guyana,GUY,739472,66.2
Haiti,HTI,9296291,63.5
Honduras,HND,683411,74.6
Hungary,HUN,10086387,75.8
Iceland,ISL,295732,82.7
India,IND,1134403141,68.3
Indonesia,IDN,226063044,69.1
Iran (Islamic Republic of),IRN,69420607,75.5
Iraq,IRQ,27995984,68.9
Ireland,IRL,4143294,81.4
Israel,ISR,6692037,82.5
Italy,ITA,5864636,82.7
Jamaica,JAM,2682469,76.2
Japan,JPN,127896740,83.7
Jordan,JOR,5544066,74.1
Kazakhstan,KAZ,15210609,72
Kenya,KEN,35598952,63.4
Kiribati,KIR,92003,66.3
Kuwait,KWT,2700,74.7
Kyrgyzstan,KGZ,5203547,71.1
Lao People's Democratic Republic,LAO,566391,65.7
Latvia,LVA,2301793,74.6
Lebanon,LBN,401074,74.9
Lesotho,LSO,1980831,53.7
Liberia,LBR,3441796,61.4
Lithuania,LTU,3425077,73.6
Luxembourg,LUX,456613,82
Madagascar,MDG,18642586,65.5
