Year,Afghanistan,Albania,Pakistan,Italy,India,Qatar,Australia,Singapore
2015,584.25921,3954.22783,1431.244865,349.14755,1613.18878,66346.52267,56554.3876,53629.73746
2014,612.696514,4575.763787,1316.98966,35396.66517,1573.11889,86852.7119,62214.6912,56336.7234
2013,631.744976,4414.72314,1272.44161,3537.27441,1452.195373,8834.87958,67792.3386,5629.18914
2012,669.959,4247.61438,1261.28967,34814.12436,1446.98541,88564.82298,67677.63477,54431.16199
2011,63.537231,4437.17868,1226.215314,38334.68477,1461.671957,85948.746,62245.129,53166.67581
2010,553.32894,494.358832,14.142268,35849.37364,1345.77153,736.22784,51874.848,46569.67951
2009,445.8932979,4114.136545,16.63999,36976.84512,19.317765,61478.23813,42742.99898,38577.55822
2008,373.3611163,437.539647,139.31288,464.18465,991.484634,82967.37228,49664.6854,39721.4818
2007,369.835796,363.13685,95.4327931,37698.78573,118.166373,675.61258,4991.98289,39223.58187
2006,272.56377,35.1293,873.772727,3341.7482,792.259698,6256.55926,36118.28381,33579.85948
2005,25.2941299,279.142931,711.4699463,31959.26215,77.819,51488.49529,3416.71483,29869.85398
2004,219.1413528,2416.588235,649.848233,31174.56118,621.3183767,41818.35256,3472.37977,2745.27136
2003,198.7285436,189.681557,563.594342,27387.2258,541.1352279,34176.98183,23465.38559,23573.6284
2002,187.84595,1453.642777,499.8633,22196.5736,466.2842,2999.65492,281.81763,2216.83279
2001,117.49698,1326.97339,51.6568157,24.819,447.138966,2843.63635,19517.84168,21577.7823
2000,114.56,1175.788981,533.8624114,251.2426,438.864634,29986.2915,2169.921,23792.677
